name,rating,region,difficulty,time,distance,season,dog_friendly,no_dogs_allowed,public_transit,camping,url,description
Chilliwack Community Forest,2.7,Fraser Valley East,Easy,1.5,3.0,February - November,True,False,False,False,https://www.vancouvertrails.com/trails/chilliwack-community-forest/,"From the parking lot, follow the trail past the map board as it climbs gradually through some gentle switchbacks before reaching a junction. This description follows the trails in a clockwise direction, so at the junction, go left onto the Pi:txel Trail heading towards the Cholqthet Trail. The trail continues to climb as it enters the forest but the elevation gain is relatively gentle as it continues through several switchbacks. Cross over a wooden platform and just a bit further, go left at a junction onto the Cholqthet Trail. Continue following the route uphill as you enjoy the beautiful, lush forest. Eventually, you arrive at another junction with a sign to the Broken Tree Trail. Go left, and continue ascending to where the trail splits into two. Either way takes you to the same place, however going right follows a steeper, shorter route and going left is a much more gradual route. Go right up the steep route as it's less popular with the mountain bikers and make your way to the top of the Broken Tree Trail. At the top of the Broken Tree Trail loop, you can go left for a very short distance to see where the junction is for the trail to the Gloria Lookout, a challenging 5.5km trail to an incredible view of the Fraser Valley. Instead, go right and leave the Broken Tree Trail as you begin to follow the Upper Canyon Trail through a relatively flat section, continuing your hike in a clockwise direction. When the trail reaches a junction, continue straight following along the canyon ridge high above the creek as the trail begins to descend quickly and through small switchbacks. When the trail reaches a junction with the Canyon Loop Trail, decide whether to take the shorter route to the right (about 500m) or the longer route to the left (about 1.7km). This description goes right, following the shorter route as you make your way through the forest to another junction with a kid's trail. Go straight until you reach a 3-way junction, which is where the long route for the Canyon Loop Trail rejoins the trail. Continue to following the wide, well defined route until you are back at the first junction where you began your hike. Go left and walk back down the gravel switchbacks, returning to the parking lot area."
Chris Hatfield Trail,0.0,Southern Gulf Islands,Easy,1.0,2.8,year-round,True,False,False,False,https://www.vancouvertrails.com/trails/chris-hatfield-trail/,"The Chris Hatfield Trail is located on Salt Spring Island and goes to Yeo Point in Ruckle Provincial Park, offering incredible coastal views looking towards Pender Island and Prevost Island. The route descends gradually along a forest trail down towards the coast, where there is access to a rocky beach and several nearby viewpoints. The trail begins near the cul-de-sac on Meyer Road, however do not walk down any of the driveways belonging to the local property owners. The trailhead is located between two driveways with a sign marking the start of the Chris Hatfield Trail. It is also worth noting that this is a much shorter route to Yeo Point than beginning from Beaver Point Provincial Park or Ruckle Provincial Park. Follow the trail as you begin to descend along a trail that passes in-between the fences of private property. The trail will begin to descend at a steeper pace as you walk through the beautiful, lush forest. At a junction, go straight and then go straight at a second junction, staying on a narrower hiking-type trail. The trail goes down a semi-steep section and eventually reaches a dirt road crossing. Cross the road and continue along the trail on the other side as the route abruptly swerves to the right, before going left again and crossing a small wooden bridge over a creek. The trail continues through the forest until it reaches a park sign along the coastal trail with directions to several points of interest. From the sign, it's just a short work down to a rocky beach area. If you go left, you can walk about 5 minutes to Yeo Point where some of the best views can be seen on a clear day. The views will look out towards Pender and Prevost Island and you will often see ferries passing by as several routes use the waterways off of this area of Salt Spring Island. After enjoying the area, you can return to the park sign, just up from the beach, and begin walking up the trail, passing through the forest. Cross the wooden bridge and go straight at the junctions as you continue uphill, eventually returning to the trailhead where you began."
Cliff Gilker Park,5.0,Sunshine Coast,Easy,1.0,2.0,year-round,True,False,False,False,https://www.vancouvertrails.com/trails/cliff-gilker-park/,"Cliff Gilker is located in Roberts Creek on the Sunshine Coast and has a network of easy hiking trails that pass several scenic waterfalls. The park offers a perfect hike for families to explore the bridges, forest, and terrain along several picturesque creeks. There are a mix of trails in the park that are colour coded by Yellow, Green, Red, and Blue trails. You can pick your own route along multiple trails to explore as the trails and junctions are very well marked. The description below follows the Yellow trails along Clack Creek and then branches off onto the Green Trail before looping back along the south eastern portion of the Red trail. From the gravel parking lot near the soccer field, walk towards the building at the end of the parking lot and follow a trail behind the building into the forest. Go right and follow the Yellow Trail downhill, watching for views of Clack Creek, the spectacular waterfall, and the bridges that cross the creek. Stay on this side of the creek and follow the Yellow trail to the bottom of the trail as you enjoy the scenic views. At the bottom of the Yellow trail, cross the bridge and then go right, following the southern part of the Red trail. At a second junction, go left and continue to follow the Red trail as it begins to climb uphill, making its way through the lush forest. The uphill section continues for quite sometime but is relatively gentle as you cross the occasional small, wooden bridge. When you reach the junction with the Green trail, you can continue on the Red trail for a longer hike, or, go left and follow the Green trail. The trail is relatively flat through this section and can be quite muddy after rainfalls. Eventually, the Green trail arrives at a junction with the Red trail. Go left and walk a short distance to the Yellow trail. Cross over a wooden platform above the waterfall area and you return to the area near where you began your hike behind the building near the parking lot. At any point, you can extend your hike and explore all of the bridge crossings along the Yellow trail. All of them are very scenic and offer unique views of several waterfalls."
Coliseum Mountain,3.4,The North Shore,Difficult,10.0,23.5,July - September,True,False,True,False,https://www.vancouvertrails.com/trails/coliseum-mountain/,"Coliseum Mountain and all other backcountry trails in Lynn Headwaters Regional Park are nowclosedfor the season. The trail will re-open in roughly July 2025, or when the snow and conditions allow. The hike to Coliseum Mountain is a strenuous and challenging trail due to the overall distance, the elevation gain, and the rugged terrain. However, those who reach the summit are rewarded with spectacular panoramic views of the region. This trail is only recommended for experienced hikers with a good level of all around fitness. From the parking lot, walk across the Lynn Creek Bridge to the large signboard and map on the other side and sign in at the registration board. Head to your left along the Lower Lynn Loop Trail which runs parallel with Lynn Creek to the left. This portion of the trail consists of a wide gravel road with little elevation gain. Continue forward past a junction as the trail merges into the Cedars Mill Trail. This section becomes narrower but is still easy to navigate as you cross some small bridges and pass through small groves of trees. About 4km in, you will enter a clearing known as the Third Debris Chute where a signpost points the way to the right towards Norvan Falls. Follow the path up the rocky clearing to another signpost nearby and go left at this junction to continue along the Lynn Headwaters Trail toward Norvan Falls. You will encounter larger rocks and some tree roots along this section of trail as it heads through the forest. About 3km further you will reach another signpost that marks the junction to go to Coliseum Mountain. First, ensure you have budgeted more than enough daylight hours from this point to complete the entire roundtrip hike back to the parking lot before continuing on the path to your right. If you choose to proceed you will see a large sign nailed to a tree pointing the way up to the Coliseum Mountain route and a cautionary notice. Please read the notice and only continue further if you are adequately prepared as the trail is dangerous from this point forward. Immediately, the trail drastically increases in difficulty. The trail is marked well with orange ribbons and yellow tree tags so keep an eye out for them as you can easily stray off the path if you lose sight of the markers. The elevation gain is greatly increased, the terrain becomes very rugged and presents an obstacle course of large rocks, exposed tree roots, uneven and unstable surfaces, and some fallen trees intersecting the trail. The vast majority of the trail is tough and climbs steeply until it levels out briefly where you encounter a muddy section with a path of tree stumps for crossing through. Some of the stumps are loose and slippery so secure your footing as you cross over. Soon, the trail becomes very difficult again with the combination of steep elevation gain, jagged rocks, loose dirt, and exposed tree roots that pose a tripping hazard. Eventually you will come across a small pond. This is a good spot to take a break before the final ascent. The trail remains rocky and steep to the peak and you can catch glimpses of the surrounding mountains and East Vancouver on a clear day. Soon, the trees begin to thin out and you will be scrambling up the face of the mountain. Keep an eye out for orange ribbons pinned by rocks and tied to small branches that mark the trail leading to the summit. Once you reach the summit enjoy the panoramic views of the surrounding mountains, Cornett Lakes, and Hanes Valley.  If you choose to continue further to the nearby lake at the top of Coliseum Mountain do so with care as there is no marked trail to the lake. On your return trip be sure to leave ample time to safely complete the trip within daylight hours and be sure to follow the trail markers. The hike back presents the major challenge of descending through steep and rugged terrain where you will need to ensure at least three points of contact through many sections in order to safely navigate the trail to avoid falling. Secure your footing, use your hands wherever necessary, and steady your balance to help prevent injuring yourself or others ahead of you. When you reach the junction for the Lynn Headwaters Trail head left back along the route you came from toward the Cedars Mill Trail and Lynn Loop Trail. When you reach the signboard at the Lynn Loop trailhead, don't forget to deposit the other half of your registration sheet before heading back to the parking lot."
Colony Farm Regional Park,3.5,Vancouver City,Easy,1.5,8.0,year-round,True,False,True,False,https://www.vancouvertrails.com/trails/colony-farm-regional-park/,"Located in Port Coquitlam just off of Lougheed Highway, Colony Farm Regional Park has a number of trails that pass along the Coquitlam River and offer views of the nearby fields. The area is popular with joggers, cyclists, bird watchers and those going for a quick walk who want to enjoy some scenery along the Coquitlam River. The popular Traboulay PoCo Trail passes right through a section of the park. There are several trail options in the park and it's recommended to check the map before you leave the parking area to plan your route. This description will explain a route that crosses the Millennium Bridge, then follows the Wilson Farm Dyke Trail before returning via the same route. However, you can choose to explore your own route through the park. From the map near the parking lot, follow the trail past the community gardens, then go left along the Garden Trail. Immediately, there are scenic views looking across the fields towards the Coquitlam Mountains in the distance. After walking about 900-meters, cross the small bridge and walk up the stairs to the wide trail on the dyke. Go right and walk along the wide path to the big bridge, called the Millennium Bridge. Cross over it and enjoy the view of the slowly moving Coquitlam River below. On the other side, go left and follow the wide trail along the Wilson Farm Dyke Trail as you catch some scenic views of the river to your left and mountains in the distance. A short distance later, there is a bench with a view looking across the wildlife habitat area. Depending on the time of year, many birds can often be spotted and the occasional larger animal, such as a coyote. Continue following the trail to a junction with the Pumphouse Trail but go left and stay on the Wilson Farm Dyke Trail. This section of trail is park of the Traboulay PoCo Trail, which is a long route around Port Coquitlam that is a popular biking route. The path reaches a junction, where the Traboulay PoCo Trail goes off to the left. Staying in Colony Farm Regional Park, go right and walk along the trail until it reaches a metal gate. The metal gate marks the end of the park and, at this point, you can turn back and retrace your footsteps. Walk back to the Millennium Bridge, crossing over it, then going right and down the small set of stairs across the small bridge, following the Garden Trail back to the parking lot."
Conflict Lake,3.8,Whistler,Intermediate,5.0,12.0,June - September,False,True,False,False,https://www.vancouvertrails.com/trails/conflict-lake/,"Conflict Lake is located in the Callaghan Valley to the west of Whistler and offers a beautiful hike  through forests and scenic meadow areas. The Callaghan Valley is a popular cross-country skiing area in the winter and the trail to Conflict Lake passes the nearby Journeyman Lodge. The trail starts about 200-meters before Callaghan Lake, on the left side of the gravel road. Follow the trail as it heads into the forest and immediately crosses a bridge of wooden logs over the rushing water. The well-worn trail continues through the forest, crossing several narrow boards that pass over small streams or muddy sections. Watch your step along these crossings as they can often be slippery early in the day. After walking for about 1.8km, you reach a junction with a sign on a tree. Go right in the direction pointing towards the Lodge and follow the trail as it immediately climbs uphill. The next section is the most difficult part of the trail as it ascends and passes over rocks and logs. The trail eventually reaches an open meadow and crosses a small creek. A few steps further and you can begin to catch glimpses of Powder Mountain to the left and up ahead. The trail has very little incline through this section but can often be muddy and slippery. After making your way along the trail and looking at the beautiful scenery, the Journeyman Lodge suddenly appears up ahead. Follow the trail as it goes straight towards the front door of the lodge, then go right, walking along the side of the building to where the trail continues down a hill towards Conflict Lake. Conflict Lake is just a short walk from the Callaghan Lodge and there are a few places around the lake that offer a beautiful area to sit and take in the scenery. The first view of the lake is to the right, just as you?re walking down the hill. A second option is to continue a bit further and look for a worn path that goes off to the right and follow it as it goes alongside the lake and ends next to the shoreline by several rocks to sit on. Another great viewpoint is to continue following the main path around to the northwest side of the lake, looking for a grassy clearing where you can walk right down to the shoreline and see across the lake. Hikers wishing to extend their hike can continue on towards Ring Lake, which is an additional 4-5km from Conflict Lake, making the complete round-trip 20km from the parking area to Ring Lake and back again. Note that the trail has minimal elevation gain until the final kilometer to Ring Lake, where it climbs steeply. After enjoying the scenery at Conflict Lake, return to the main trail and begin walking back towards the Lodge. Go left by the front door and down the trail as it passes the little ponds and rocks, offering views of Powder Mountain in the distance. Cross over the creek and follow the trail through the forest as it weaves its way through the trees, descending quickly and passing over the little streams. At the junction, go left and hike the final leg of your journey back towards the parking lot area, crossing over the log bridge near the end."
Cool Creek Canyon,4.8,Pemberton,Intermediate,2.0,3.5,April - October,True,False,False,False,https://www.vancouvertrails.com/trails/cool-creek-canyon/,"The trailhead for Cool Creek Canyon has been moved to the the Spetch Creek FSR where there is an official sign and lots of parking. We will update the map shortly to show the full route. Total roundtrip distance is 3.5km. Cool Creek Canyon is a short, steep hike that offers scenic views of waterfalls and the Birkenhead River valley area north of Pemberton, BC. The route climbs up the steep hill on one side of Cool Creek, crossing a bridge higher up, before descending down the other side back to the road. From the trailhead next to the small gravel parking area alongside Portage Road, walk past the wooden sign and follow the trail as it begins to climb quickly. The route passes through a forested section, offering occasional glimpses of Cool Creek while steadily climbing as you work to pace yourself. Near a rockslide, the trail veers to the left and continues following a path near the creek. There are no trail markers but the route is clearly defined and well maintained. As you make your way higher up the canyon, there are a couple of places to enjoy the view of the rushing water. Do not venture too close as the rocks can be slippery and the rushing water can quickly sweep you over the edge unexpectedly. The trail weaves its way up onto several rocky ridges and scenic views of the Birkenhead River valley can be seen between the trees. Quickly stop to enjoy the views, catch your breath, before continuing up the narrow trail that pass up and over the rocks. The route begins to ascend at a lower rate as you quickly make time through the forest and reach a wooden bridge crossing Cool Creek. This is the highest elevation point of the hike and the trail will descend on the opposite side of the creek. Follow the trail downhill as it descends via a series of switchbacks where there is often a great view of a waterfall at the switchbacks closest to the creek. There are a couple of spots that offer a clearer view of the waterfalls than they did on the other side of the canyon. As you continue descending, the trail reaches a junction where another trail goes off a short distance to the right to a picnic table. This is a beautiful spot with a view that looks north up the Birkenhead River valley, offering a great place for lunch. Return to the trail and continue to descend. The hike down is fairly quick as you continue to follow the creek before the trail exits the forest and returns back to Portage Road. Walk left along side the highway back to the small gravel parking area to where you began your hike."
Coquitlam Crunch,3.7,Tri Cities,Intermediate,1.5,4.5,year-round,True,False,True,False,https://www.vancouvertrails.com/trails/coquitlam-crunch/,"The Coquitlam Crunch is a steep, urban trail that follows a route under large hydro power lines and offers a great workout. With the trail's location directly under the power lines, all of the views are obstructed by these lines and giant towers. However, the Coquitlam Crunch is a shorter, less intense version of the Grouse Grind with the sole purpose of exercise. From the wooden signboard next to the gravel parking lot, walk up the gravel trail and just a short distance later, you arrive at a crosswalk on Lansdowne Drive. Cross the street and continue your hike uphill. This section is the steepest, most difficult part of the trail as the route climbs quickly without much of a break. The trail begins to level as you approach the next street crossing which, again, is Lansdowne Drive. After crossing the street, the trail climbs at a much gentler rate before making a right and heading up a few stairs. The next road to cross is David Avenue, where the trail changes from gravel to a paved pathway. Continue past the dog off-leash area and up to a junction. Go left at the junction and up a few stairs towards the basketball and tennis courts, staying on the right side of the courts and following the path up to the road. Walk left, along the side walk up to the 3-way stop and cross the street, heading up hill on the other side of the intersection. The final section of the Coquitlam Crunch climbs up a wide, paved path and passes a sport field on your right. Just beyond the field, the trail again turns into gravel as you complete the last portion up to Eagle Mountain Drive. The sense of accomplishment is brief though as you turn around and walk back down towards the parking area, following the same path but working a different set of muscles in your legs."
Coquitlam Lake View Trail,0.0,Tri Cities,Intermediate,5.0,11.0,May - November,True,False,False,False,https://www.vancouvertrails.com/trails/coquitlam-lake-view-trail/,"The Coquitlam Lake View Trail climbs up along the trails of Burke Mountain in Pinecone Burke Provincial Park to a rocky bluff with a spectacular view of the Coquitlam Watershed area. The route passes through a network of trails and deactivated logging roads before it climbs up a short steep trail just before the viewpoint. From the metal gate at Harper Road, walk up the gravel road and past the wooden map board. Follow the gravel road until it reaches another gravel road to the left. Go left on this gravel road and begin hiking uphill as it climbs at a fairly gently pace through the forest. You may notice several trails on both sides of the road that are used by mountain bikers. When the road reaches the powerlines, continue walking up hill on the rocky section where a trail starts next to a wooden post. The trail marks the Coquitlam Lake View Trail and, on some posts or markers throughout the hike, maybe abbreviated to ""CLVT"". Walk up the narrow, rocky path and into the forest. The trail immediately widens again and you follow an old, deactivated logging road for most of the hike. The trail is rocky, so pick your course as you make your way uphill. There are a few creek crossings that should be easily passable throughout the year when there is no snow. Continue to stay on the wide trail as you pass several junctions that veer off to the left or right. Eventually, the trail reaches a rocky creek with a small waterfall that tumbles down the rocks to the right. Carefully cross the rocky creek bed and veer left as you follow the wide trail. Just a short distance further and you reach a sign on the right pointing uphill to the ""Coquitlam Lake View Trail"". Go right and follow the narrow hiking trail as it climbs steep through the second generation growth forest. You will pass several huge stumps giving an indication how large some of the trees were before the area was logged. The trail continues to climb until it reaches a junction with the South Ridge Trail. Go left and continue as you are back walking on a wide, old deactivated logging road again. This section of trail has very little elevation change as you pass through the area quite quickly. As you approach a junction, look for a sign on the right for a trail to the Coquitlam Lake Viewpoint. The old viewpoint used to be to the left and a short walk up, however the trees grew over the years and have blocked that view. The new viewpoint is to the right and a very steep, narrow trail to reach it. Follow the markers as you climb up the steep route and after five minutes or so, you will reach the rocky bluff with an incredible view. The view looks down onto the Coquitlam Watershed and across to the Eagle Mountain area. To the left, you can see a bit of Coquitlam and Port Moody in the distance. After enjoying the view, carefully hike back down the steep trail, watching where you place your feet, as you return quickly to the old deactivated road. Go left and walk down the hill, following the same route you arrived. Go right at the junction and back down through the forest where the trail meets with the road again and the creek crossing near the small waterfall. Continue following the long trail back downhill, being mindful of the loose rocks, until you reach the powerlines. Then, walk straight downhill along the gravel road, making a right at the bottom and returning to the metal gate where you began your hike on Harper Road."
Crater Rim Trail,4.7,Whistler,Intermediate,2.0,4.5,May - October,True,False,False,False,https://www.vancouvertrails.com/trails/crater-rim-trail/,"The Crater Rim Trail is located in the Whistler Interpretive Forest and loops around Loggers Lake passing several scenic views and through a beautiful forest. Loggers Lake is situated in an extinct volcano and the Crater Rim Trail passes around the upper ridges that surround the lake. The trail begins next to the wooden signboard next to the gravel road and across from a small parking area. If you are unable to get parked at this tiny parking lot, you can park back down the road near where you crossed the one-way bridge in a designated parking area, then walk up the Riverside Trail along the west side of the Cheakamus River. This adds additional distance and time to your hike but the Riverside Trail is scenic, passes a suspension bridge, and is a relatively easy walk. From the start of the trail, follow the rocky trail uphill towards Loggers Lake as it quickly gains elevation. Along the way, there are several views that look back down towards the valley. As the trail levels, watch for a small trail with a blue sign on the left marked Crater Rim Trail and go left, following this trail uphill. The sign says that the Crater Rim Trail is 6km but we found that to be a bit generous and that the trail was closer to 4.5km to complete the loop, returning to the small parking lot. Follow the trail as it heads uphill into the forest and is marked with yellow diamond markers on the trees. Within minutes, you reach a clearing where you look down onto Loggers Lake for one of the most scenic views of the area. Loggers Lake is known to be one of the warmest lakes in Whistler as the rocky walls of the volcano that surround the lake protect it from the cooler air and the lake is not glacier fed like many other lakes in the region. Continue following the trail as it climbs further before levelling and following a narrow path high above the vegetation below. The trail then veers right and follows along a ridge, where there both sides of the trail have drop-offs. At the first junction, continue going straight but look for the occasional openings on the left side of the trail to enjoy scenic mountain views looking southeast towards Garibaldi Provincial Park. Upon reaching another junction that has no parkings on the wooden pole, go straight and continue up the hill where there is another junction a short distance further. At this junction that's well marked with a blue sign, go right onto the Crater Rim Trail and continue uphill as the trail veers right and climbs to the highest point. There is a viewpoint not much further where Loggers Lake can be seen far below. A few more minutes of climbing and the trail leaves and passes through a second generation forest. The trail is fairly flat with small inclines and declines for quite some distance, as you quickly move through this section of the route. Eventually, you reach another viewpoint that looks northeast over the valley towards the Sea To Sky Highway in the distance. After this point, the trail descends steeply through a series of switchbacks. Carefully make your way down the hill as the loose rocks can be slippery on several sections. When the trail reaches a junction next to an outhouse, go left and following the wide trail around Loggers Lake, back towards where you began. Watch for a small trail on the right side that leads to Loggers Lake and follow this route down to the water. There is a path next to the lake that leads to a makeshift wooden dock. After hiking the Crater Rim Trail on a hot summer's day, the lake is a perfect place to take a swim to cool down before heading back to the parking lot. After enjoying Loggers Lake, return to the main trail and go right heading back past the junction that you passes at the start of the hiker earlier. Following the wide trail back down the rocky hill and return to the parking area. If you had to park further down the Cheakamus River, pass through the parking lot and return via the Riverside Trail."
Crooked Falls,4.2,Howe Sound,Intermediate,3.5,6.0,April - November,True,False,False,False,https://www.vancouvertrails.com/trails/crooked-falls/,"Crooked Falls is a spectacular waterfall that tumbles over several rocks and has stunning views looking directly at the waterfall and at its side. Located in the Upper Squamish Valley just off of the Sigurd Trail, the hike to the waterfall also has several scenic viewpoints looking down towards the Squamish River and across the valley. From the trailhead on Ashlu Road, follow the Sigurd Trail up the rocky route as it climbs quickly at the beginning. The steep climb up the rocky trail is short as the route veers to the left and follows an old logging road. As the logging road levels out, look for a dirt pathway marked with the Sigurd Trail sign and follow this trail to the left as it continues along a fairly flat, narrower trail. There is a stunning viewpoint of the Squamish Valley on the left but it's easy to miss because it's on a rocky bluff and there are no markers except a slightly worn trail. Watch for that worn trail on your left and follow it out onto the rocky bluff, where you get a clear view looking down the valley towards Howe Sound as well as the mountainss to the east. Returning to the trail, continue to follow it until it veers right and begins to climb steeply. Watch your step as you make your way up the steep section before the trail arrives at a clearing on another rock bluff with a viewpoint of the valley. This viewpoint is not as good as the first, so if you missed the first one, try to look for it on the way back. Continue hiking past the viewpoint and back into the forest as the trail gradually climbs and passes a huge boulder. Not much further and the trail begins to climb steeply again. Follow the route through the switchbacks and continue uphill as this section is where you will gain the bulk of the elevation to Crooked Falls. Eventually, the trail reaches a junction with a yellow sign pointing left to Crooked Falls. Go left and follow the trail as it slightly descends through the next 300-metres until it reaches the waterfall. There are two great views of the waterfall, first follow the trail down the hill to a spot in front of the falls to watch the full force of the water cascading over the rocks from above. After enjoying this spot, there is another view to the side of the waterfall. Hike back up the trail to where a worn path goes down to the side of the falls but use extreme caution as this route is very slippery. After enjoying the waterfall, return along the same route, going right at the junction and beginning the hike back down the hill. Pass the boulder and the viewpoints and follow the old logging road through the forest before it makes its final decent back down the rocky section to Ashlu Road."
Crown Mountain,4.7,The North Shore,Difficult,7.0,9.8,July - October,False,True,True,False,https://www.vancouvertrails.com/trails/crown-mountain/,"Crown Mountain and all other backcountry trails in Lynn Headwaters Regional Park are nowclosedfor the season. The trail will re-open in roughly July 2025, or when the snow and conditions allow. The hike to Crown Mountain behind Grouse Mountain is very difficult but on a clear day, you will be rewarded with incredible views of the Capilano Watershed, the Lions, the city of Vancouver in the distance, and many backcountry coastal mountains. The jagged peak, which resembles a crown, towers above several of the other nearby mountains. What makes this trail so difficult is you have to hike down a very steep trail into Crown Pass before hiking up the steep side of Crown Mountain, then return the same route. The elevation change is therefore misleading compared to other hikes as you have to essentially hike the elevation change twice. The trail to Crown Mountain is located in Lynn Headwaters Regional Park and is best accessed via the Alpine Trail behind Grouse Mountain by taking the Grouse Mountain Skyride to the top. Ambitious hikers can also take the Grouse Grind, BCMC Trail, or Hanes Valley route but adding these routes onto the Crown Mountain trail will make for a very long, gruelling day. From the Grouse Mountain Chalet, walk towards the Peak ski run and the area where the Grizzly Bear enclosure is located. Pass the Grizzly Bears on your left and continue onto the gravel towards the ski run. Just to the left of the ski run is a gravel road that takes you into the backcountry behind Grouse. Follow this road as it passes along the mountain and offers a few interesting views. The wide gravel road abruptly ends and a very rocky trail heads uphill. Follow this trail as it narrows but continues climbing quickly as you pass under, then over a couple of pipes. You want to follow the signs to the Alpine Trail but the signage in this area can be a bit confusing as the Alpine Trail is not mentioned on all signs. Pass the first sign (which only mentions the Ridge Trail and does not mention the Alpine Trail) and continue uphill until you reach a junction with a second sign. Go right at the second sign and follow the Alpine Trail until it reaches a zipline platform. If you reach the zipline, you are on the right trail. Continue along the Alpine Trail by going left as you begin hiking into the backcountry and away from all of the tourists at Grouse Mountain. The Alpine Trail continues gaining elevation as the well marked trail passes several junctions, include those to Thunderbird Ridge, Dam Mountain, and 2 junctions to Little Goat Mountain. The trail descends slightly to a sign that points to Crown Mountain to the left. Go left onto the Crown Mountain Trail and you immediately emerge from the trees onto a rocky outcrop with a direct view of your destination. Begin the difficult part of the hike by walking down the trail towards Crown Pass. The next 1km will be the first real test as it descends very steeply, over slippery rocks and through a series of sections that have chains to help you. Be careful as the trail is often muddy and slippery due to being hidden from direct sunlight. Eventually, the trail opens from the forest as you cross a small boulder field. A short distance later and you reach the junction at the bottom of Crown Pass with the Hanes Valley Trail. Continue hiking past the Hanes Valley Junction as the trail immediately begins to climb steeply over large rooted trees and big rocks used as steps. The next 1.9km to the top is difficult, offering little rest. When you reach a boulder field, look for the yellow spray painted markings on the rocks and follow those across the field where the trail enters the forest on the other side. The trail continues climbing before a brief drop into a dried creek bed, then back to the uphill slog. Passing through the second boulder field offers the first views that look down towards the Capilano Watershed area. Continue along the trail as you climb up some rocks and the trail eventually reaches a big spray painted dot on the side of the rock. This rock is the final portion to the very peak but it's a bit challenging to climb onto because there is no easy crevice to grab onto. You can either climb up onto the peak by the big dot or follow a small trail to the left and climb up onto the rock around the side. Be very careful on or around the peak as it's a long way down on all sides and slipping and falling will mean serious injury and possibly death. On a clear sunny day, the views from Crown Mountain are nothing short of spectacular. You can see the city of Vancouver in the distance, down into the Hanes Valley, down towards the Capilano watershed, over to the mountains near Cypress, the Lions, and well into the backcountry, including mountains as far north as Squamish. Make sure to leave yourself plenty of time to return to Grouse Mountain as the trail is just as difficult returning. Carefully hike back down the steep rocks and descend back towards Crown Pass. Pass the junction with Hanes Valley and begin climbing out of Crown Pass. Often at the end of the day, you will encounter tired hikers who have made their way up the steep Hanes Valley route. Just before the Alpine Trail on the rocky outcrop, take the opportunity to look back at Crown Mountain to see where you had been and marvel in the hard work it took to reach its peak. Return to Grouse Mountain by going right on the Alpine Trail and staying on the trail as you pass the other junctions. At the zipline platform, go right and follow the trail downhill until it meets with the access road. Walk back down the road towards the grizzly bear enclosure before returning to the Grouse Mountain Skyride."
Crystal Falls,4.4,Tri Cities,Easy,2.0,7.0,year-round,True,False,True,False,https://www.vancouvertrails.com/trails/crystal-falls/,"The Crystal Falls trail is closedThe trail crosses private property and tresspassing is illegal. Located east of Vancouver in Coquitlam, Crystal Falls is a scenic waterfall that drains into the Coquitlam River and is along a short, easy hike trail. The area is also popular with dog walkers and mountain bikers and the route can be very muddy for several months of the year, including small small streams that you have to step through or carefully cross trying not to get your shoes wet. From the unmarked trailhead on Karley Crescent, walk into the forest, down the short slope, and along the path as it runs parallel to the Upper Coquitlam River. The trail dips down to the edge of the river before climbing back uphill and continue northward to the falls. Continue walking as the route weaves its way along the shore and through the scenic, moss covered forest. After about 40 minutes, there is an old blue pickup truck abandoned on your left. From here, it's about another 15 minutes up the trail, crossing several more small streams, and finally arriving at a larger creek where Crystal Falls sits just a few meters further upstream. The area can be quite busy during the warmer weather months, so choose a place to sit and enjoy a snack while taking in the sights and sounds of the waterfall. Once you're ready to head back, walk down the trail, crossing the small streams, past the old pickup truck, and eventually out to the neighbourhood where you started your hike."
